53,DEPOSIT,2015-06-01 09:31:12.035,2015-06-01 09:48:36.035,2015-06-01 09:51:36.035
54,DEPOSIT,2015-06-01 09:31:48.035,2015-06-01 09:49:12.035,2015-06-01 09:52:12.035
55,CHECK,2015-06-01 09:32:24.035,2015-06-01 09:49:12.035,2015-06-01 09:57:12.035
56,LOAN,2015-06-01 09:33:00.035,2015-06-01 09:49:48.035,2015-06-01 09:57:48.035
57,DEPOSIT,2015-06-01 09:33:36.035,2015-06-01 09:50:24.035,2015-06-01 10:02:24.035
58,WITHDRAW,2015-06-01 09:34:12.035,2015-06-01 09:51:00.035,2015-06-01 10:03:00.035
59,CHECK,2015-06-01 09:34:48.035,2015-06-01 09:51:36.035,2015-06-01 09:54:36.035
60,TRANSFER,2015-06-01 09:35:24.035,2015-06-01 09:52:12.035,2015-06-01 09:55:12.035
61,TRANSFER,2015-06-01 09:36:00.035,2015-06-01 09:54:36.035,2015-06-01 09:57:36.035
62,WITHDRAW,2015-06-01 09:36:36.035,2015-06-01 09:55:12.035,2015-06-01 09:58:12.035
63,ATM,2015-06-01 09:37:12.035,2015-06-01 09:57:12.035,2015-06-01 10:05:12.035
64,DEPOSIT,2015-06-01 09:37:48.035,2015-06-01 09:57:36.035,2015-06-01 10:00:36.035
65,CHECK,2015-06-01 09:38:24.035,2015-06-01 09:57:48.035,2015-06-01 10:05:48.035
66,CHECK,2015-06-01 09:39:00.035,2015-06-01 09:58:12.035,2015-06-01 10:01:12.035
67,CHECK,2015-06-01 09:39:36.035,2015-06-01 10:00:36.035,2015-06-01 10:03:36.035
68,CHECK,2015-06-01 09:40:12.035,2015-06-01 10:01:12.035,2015-06-01 10:04:12.035
69,LOAN,2015-06-01 09:40:48.035,2015-06-01 10:02:24.035,2015-06-01 10:14:24.035
70,OPEN,2015-06-01 09:41:24.035,2015-06-01 10:03:00.035,2015-06-01 10:15:00.035
71,ATM,2015-06-01 09:42:00.035,2015-06-01 10:03:36.035,2015-06-01 10:06:36.035
72,CHECK,2015-06-01 09:42:36.035,2015-06-01 10:04:12.035,2015-06-01 10:07:12.035
73,TRANSFER,2015-06-01 09:43:12.035,2015-06-01 10:05:12.035,2015-06-01 10:13:12.035
74,WITHDRAW,2015-06-01 09:43:48.035,2015-06-01 10:05:48.035,2015-06-01 10:13:48.035
75,DEPOSIT,2015-06-01 09:44:24.035,2015-06-01 10:06:36.035,2015-06-01 10:09:36.035
76,DEPOSIT,2015-06-01 09:45:00.035,2015-06-01 10:07:12.035,2015-06-01 10:10:12.035
77,WITHDRAW,2015-06-01 09:45:36.035,2015-06-01 10:09:36.035,2015-06-01 10:12:36.035
78,ATM,2015-06-01 09:46:12.035,2015-06-01 10:10:12.035,2015-06-01 10:13:12.035
79,CHECK,2015-06-01 09:46:48.035,2015-06-01 10:12:36.035,2015-06-01 10:15:36.035
80,CHECK,2015-06-01 09:47:24.035,2015-06-01 10:13:12.035,2015-06-01 10:16:12.035
81,CHECK,2015-06-01 09:48:00.035,2015-06-01 10:13:12.035,2015-06-01 10:21:12.035
82,CHECK,2015-06-01 09:48:36.035,2015-06-01 10:13:48.035,2015-06-01 10:21:48.035
83,OPEN,2015-06-01 09:49:12.035,2015-06-01 10:14:24.035,2015-06-01 10:26:24.035
84,WITHDRAW,2015-06-01 09:49:48.035,2015-06-01 10:15:00.035,2015-06-01 10:27:00.035
85,ATM,2015-06-01 09:50:24.035,2015-06-01 10:15:36.035,2015-06-01 10:18:36.035
86,TRANSFER,2015-06-01 09:51:00.035,2015-06-01 10:16:12.035,2015-06-01 10:19:12.035
87,WIRE,2015-06-01 09:51:36.035,2015-06-01 10:18:36.035,2015-06-01 10:21:36.035
88,LOAN,2015-06-01 09:52:12.035,2015-06-01 10:19:12.035,2015-06-01 10:22:12.035
89,WIRE,2015-06-01 09:52:48.035,2015-06-01 10:21:12.035,2015-06-01 10:29:12.035
90,BALANCE,2015-06-01 09:53:24.035,2015-06-01 10:21:36.035,2015-06-01 10:24:36.035
91,DEPOSIT,2015-06-01 09:54:00.035,2015-06-01 10:21:48.035,2015-06-01 10:29:48.035
92,BALANCE,2015-06-01 09:54:36.035,2015-06-01 10:22:12.035,2015-06-01 10:25:12.035
93,DEPOSIT,2015-06-01 09:55:12.035,2015-06-01 10:24:36.035,2015-06-01 10:27:36.035
94,BALANCE,2015-06-01 09:55:48.035,2015-06-01 10:25:12.035,2015-06-01 10:28:12.035
95,LOAN,2015-06-01 09:56:24.035,2015-06-01 10:26:24.035,2015-06-01 10:38:24.035
96,WITHDRAW,2015-06-01 09:57:00.035,2015-06-01 10:27:00.035,2015-06-01 10:39:00.035
97,BALANCE,2015-06-01 09:57:36.035,2015-06-01 10:27:36.035,2015-06-01 10:30:36.035
98,WIRE,2015-06-01 09:58:12.035,2015-06-01 10:28:12.035,2015-06-01 10:31:12.035
99,LOAN,2015-06-01 09:58:48.035,2015-06-01 10:29:12.035,2015-06-01 10:37:12.035
100,BALANCE,2015-06-01 09:59:24.035,2015-06-01 10:29:48.035,2015-06-01 10:37:48.035
101,WITHDRAW,2015-06-01 10:00:00.035,2015-06-01 10:30:36.035,2015-06-01 10:33:36.035
102,CHECK,2015-06-01 10:00:36.035,2015-06-01 10:31:12.035,2015-06-01 10:34:12.035
103,WITHDRAW,2015-06-01 10:01:12.035,2015-06-01 10:33:36.035,2015-06-01 10:36:36.035
104,OPEN,2015-06-01 10:01:48.035,2015-06-01 10:34:12.035,2015-06-01 10:37:12.035
105,LOAN,2015-06-01 10:02:24.035,2015-06-01 10:36:36.035,2015-06-01 10:39:36.035
106,WIRE,2015-06-01 10:03:00.035,2015-06-01 10:37:12.035,2015-06-01 10:40:12.035
107,OPEN,2015-06-01 10:03:36.035,2015-06-01 10:37:12.035,2015-06-01 10:45:12.035
108,WIRE,2015-06-01 10:04:12.035,2015-06-01 10:37:48.035,2015-06-01 10:45:48.035
109,WITHDRAW,2015-06-01 10:04:48.035,2015-06-01 10:38:24.035,2015-06-01 10:50:24.035
110,TRANSFER,2015-06-01 10:05:24.035,2015-06-01 10:39:00.035,2015-06-01 10:51:00.035
111,WITHDRAW,2015-06-01 10:06:00.035,2015-06-01 10:39:36.035,2015-06-01 10:42:36.035
112,DEPOSIT,2015-06-01 10:06:36.035,2015-06-01 10:40:12.035,2015-06-01 10:43:12.035
113,BALANCE,2015-06-01 10:07:12.035,2015-06-01 10:42:36.035,2015-06-01 10:45:36.035
114,OPEN,2015-06-01 10:07:48.035,2015-06-01 10:43:12.035,2015-06-01 10:46:12.035
115,ATM,2015-06-01 10:08:24.035,2015-06-01 10:45:12.035,2015-06-01 10:53:12.035
116,WIRE,2015-06-01 10:09:00.035,2015-06-01 10:45:36.035,2015-06-01 10:48:36.035
117,WIRE,2015-06-01 10:09:36.035,2015-06-01 10:45:48.035,2015-06-01 10:53:48.035
118,WITHDRAW,2015-06-01 10:10:12.035,2015-06-01 10:46:12.035,2015-06-01 10:49:12.035
119,WIRE,2015-06-01 10:10:48.035,2015-06-01 10:48:36.035,2015-06-01 10:51:36.035
120,BALANCE,2015-06-01 10:11:24.035,2015-06-01 10:49:12.035,2015-06-01 10:52:12.035
121,WIRE,2015-06-01 10:12:00.035,2015-06-01 10:50:24.035,2015-06-01 11:02:24.035
122,WITHDRAW,2015-06-01 10:12:36.035,2015-06-01 10:51:00.035,2015-06-01 11:03:00.035
123,OPEN,2015-06-01 10:13:12.035,2015-06-01 10:51:36.035,2015-06-01 10:54:36.035
124,BALANCE,2015-06-01 10:13:48.035,2015-06-01 10:52:12.035,2015-06-01 10:55:12.035
125,ATM,2015-06-01 10:14:24.035,2015-06-01 10:53:12.035,2015-06-01 11:01:12.035
126,BALANCE,2015-06-01 10:15:00.035,2015-06-01 10:53:48.035,2015-06-01 11:01:48.035
127,DEPOSIT,2015-06-01 10:15:36.035,2015-06-01 10:54:36.035,2015-06-01 10:57:36.035
128,WITHDRAW,2015-06-01 10:16:12.035,2015-06-01 10:55:12.035,2015-06-01 10:58:12.035
129,WIRE,2015-06-01 10:16:48.035,2015-06-01 10:57:36.035,2015-06-01 11:00:36.035
130,OPEN,2015-06-01 10:17:24.035,2015-06-01 10:58:12.035,2015-06-01 11:01:12.035
131,LOAN,2015-06-01 10:18:00.035,2015-06-01 11:00:36.035,2015-06-01 11:03:36.035
132,LOAN,2015-06-01 10:18:36.035,2015-06-01 11:01:12.035,2015-06-01 11:04:12.035
133,WITHDRAW,2015-06-01 10:19:12.035,2015-06-01 11:01:12.035,2015-06-01 11:09:12.035
134,WITHDRAW,2015-06-01 10:19:48.035,2015-06-01 11:01:48.035,2015-06-01 11:09:48.035
135,CHECK,2015-06-01 10:20:24.035,2015-06-01 11:02:24.035,2015-06-01 11:14:24.035
136,TRANSFER,2015-06-01 10:21:00.035,2015-06-01 11:03:00.035,2015-06-01 11:15:00.035
137,CHECK,2015-06-01 10:21:36.035,2015-06-01 11:03:36.035,2015-06-01 11:06:36.035
138,WITHDRAW,2015-06-01 10:22:12.035,2015-06-01 11:04:12.035,2015-06-01 11:07:12.035
139,BALANCE,2015-06-01 10:22:48.035,2015-06-01 11:06:36.035,2015-06-01 11:09:36.035
140,WITHDRAW,2015-06-01 10:23:24.035,2015-06-01 11:07:12.035,2015-06-01 11:10:12.035
141,TRANSFER,2015-06-01 10:24:00.035,2015-06-01 11:09:12.035,2015-06-01 11:17:12.035
142,WITHDRAW,2015-06-01 10:24:36.035,2015-06-01 11:09:36.035,2015-06-01 11:12:36.035
143,LOAN,2015-06-01 10:25:12.035,2015-06-01 11:09:48.035,2015-06-01 11:17:48.035
144,ATM,2015-06-01 10:25:48.035,2015-06-01 11:10:12.035,2015-06-01 11:13:12.035
145,OPEN,2015-06-01 10:26:24.035,2015-06-01 11:12:36.035,2015-06-01 11:15:36.035
146,LOAN,2015-06-01 10:27:00.035,2015-06-01 11:13:12.035,2015-06-01 11:16:12.035
147,TRANSFER,2015-06-01 10:27:36.035,2015-06-01 11:14:24.035,2015-06-01 11:26:24.035
148,TRANSFER,2015-06-01 10:28:12.035,2015-06-01 11:15:00.035,2015-06-01 11:27:00.035
149,CHECK,2015-06-01 10:28:48.035,2015-06-01 11:15:36.035,2015-06-01 11:18:36.035
150,BALANCE,2015-06-01 10:29:24.035,2015-06-01 11:16:12.035,2015-06-01 11:19:12.035
151,WITHDRAW,2015-06-01 10:30:00.035,2015-06-01 11:17:12.035,2015-06-01 11:25:12.035
152,WIRE,2015-06-01 10:30:36.035,2015-06-01 11:17:48.035,2015-06-01 11:25:48.035
153,TRANSFER,2015-06-01 10:31:12.035,2015-06-01 11:18:36.035,2015-06-01 11:21:36.035
154,ATM,2015-06-01 10:31:48.035,2015-06-01 11:19:12.035,2015-06-01 11:22:12.035
155,DEPOSIT,2015-06-01 10:32:24.035,2015-06-01 11:21:36.035,2015-06-01 11:24:36.035
156,WITHDRAW,2015-06-01 10:33:00.035,2015-06-01 11:22:12.035,2015-06-01 11:25:12.035
157,TRANSFER,2015-06-01 10:33:36.035,2015-06-01 11:24:36.035,2015-06-01 11:27:36.035
158,BALANCE,2015-06-01 10:34:12.035,2015-06-01 11:25:12.035,2015-06-01 11:28:12.035
159,BALANCE,2015-06-01 10:34:48.035,2015-06-01 11:25:12.035,2015-06-01 11:33:12.035
160,BALANCE,2015-06-01 10:35:24.035,2015-06-01 11:25:48.035,2015-06-01 11:33:48.035
161,ATM,2015-06-01 10:36:00.035,2015-06-01 11:26:24.035,2015-06-01 11:38:24.035
162,CHECK,2015-06-01 10:36:36.035,2015-06-01 11:27:00.035,2015-06-01 11:39:00.035
163,BALANCE,2015-06-01 10:37:12.035,2015-06-01 11:27:36.035,2015-06-01 11:30:36.035
164,ATM,2015-06-01 10:37:48.035,2015-06-01 11:28:12.035,2015-06-01 11:31:12.035
165,LOAN,2015-06-01 10:38:24.035,2015-06-01 11:30:36.035,2015-06-01 11:33:36.035
166,BALANCE,2015-06-01 10:39:00.035,2015-06-01 11:31:12.035,2015-06-01 11:34:12.035
167,TRANSFER,2015-06-01 10:39:36.035,2015-06-01 11:33:12.035,2015-06-01 11:41:12.035
168,TRANSFER,2015-06-01 10:40:12.035,2015-06-01 11:33:36.035,2015-06-01 11:36:36.035
169,ATM,2015-06-01 10:40:48.035,2015-06-01 11:33:48.035,2015-06-01 11:41:48.035
